Study,SampleIdentifier,SiteCode,SiteCodeDM,Plot,Replicate,Layer,SamplingYear,Disturbance,DevStage,DevStageDM,StandAge2017,DisturbanceType,Latitude,Longitude,SiteName,SiteNameDM,pH,TOC_gkg,TN_gkg
Chronosequence,SDS-20170705-F-2F,SDS,11,s11,2,O,2017,Fire,Mature,M,85,,49.786787,-91.179047,SilverDollar,Silver Dollar,4.3,463.22,11.85
Chronosequence,SDS-20170705-F-3F,SDS,11,s11,3,O,2017,Fire,Mature,M,85,,49.786787,-91.179047,SilverDollar,Silver Dollar,4.3,463.22,11.85
Chronosequence,E81-20170705-F-1L,E81,12,s12,1,B,2017,Fire,Mature,LST-M,81,,49.878752,-91.152872,ElvaLake81,Elva S,5.39,485.98,11.15
Chronosequence,E81-20170705-F-2L,E81,12,s12,2,B,2017,Fire,Mature,LST-M,81,,49.878752,-91.152872,ElvaLake81,Elva S,5.39,485.98,11.15
Chronosequence,E81-20170705-F-3L,E81,12,s12,3,B,2017,Fire,Mature,LST-M,81,,49.878752,-91.152872,ElvaLake81,Elva S,5.39,485.98,11.15
Chronosequence,E81-20170705-F-1M,E81,12,s12,1,M,2017,Fire,Mature,LST-M,81,,49.878752,-91.152872,ElvaLake81,Elva S,5.22,14.59,0.71
Chronosequence,E81-20170705-F-2M,E81,12,s12,2,M,2017,Fire,Mature,LST-M,81,,49.878752,-91.152872,ElvaLake81,Elva S,5.22,14.59,0.71
Chronosequence,E81-20170705-F-3M,E81,12,s12,3,M,2017,Fire,Mature,LST-M,81,,49.878752,-91.152872,ElvaLake81,Elva S,5.22,14.59,0.71
Chronosequence,E81-20170705-F-1F,E81,12,s12,1,O,2017,Fire,Mature,LST-M,81,,49.878752,-91.152872,ElvaLake81,Elva S,4.63,451.84,14.18
Chronosequence,E81-20170705-F-2F,E81,12,s12,2,O,2017,Fire,Mature,LST-M,81,,49.878752,-91.152872,ElvaLake81,Elva S,4.63,451.84,14.18
Chronosequence,E81-20170705-F-3F,E81,12,s12,3,O,2017,Fire,Mature,LST-M,81,,49.878752,-91.152872,ElvaLake81,Elva S,4.63,451.84,14.18
Chronosequence,12H-20170705-H-1L,12H,13,s13,1,B,2017,Harvest,Establishment,R,12,,49.80643,-91.233474,12yrHarvest,12 Yr Harv.,5.78,485.22,12.77
Chronosequence,12H-20170705-H-2L,12H,13,s13,2,B,2017,Harvest,Establishment,R,12,,49.80643,-91.233474,12yrHarvest,12 Yr Harv.,5.78,485.22,12.77
Chronosequence,12H-20170705-H-3L,12H,13,s13,3,B,2017,Harvest,Establishment,R,12,,49.80643,-91.233474,12yrHarvest,12 Yr Harv.,5.78,485.22,12.77
Chronosequence,12H-20170705-H-1M,12H,13,s13,1,M,2017,Harvest,Establishment,R,12,,49.80643,-91.233474,12yrHarvest,12 Yr Harv.,5.31,14.5,0.71
Chronosequence,12H-20170705-H-2M,12H,13,s13,2,M,2017,Harvest,Establishment,R,12,,49.80643,-91.233474,12yrHarvest,12 Yr Harv.,5.31,14.5,0.71
Chronosequence,12H-20170705-H-3M,12H,13,s13,3,M,2017,Harvest,Establishment,R,12,,49.80643,-91.233474,12yrHarvest,12 Yr Harv.,5.31,14.5,0.71
Chronosequence,12H-20170705-H-1F,12H,13,s13,1,O,2017,Harvest,Establishment,R,12,,49.80643,-91.233474,12yrHarvest,12 Yr Harv.,5.74,402.52,16.05
Chronosequence,12H-20170705-H-2F,12H,13,s13,2,O,2017,Harvest,Establishment,R,12,,49.80643,-91.233474,12yrHarvest,12 Yr Harv.,5.74,402.52,16.05
Chronosequence,12H-20170705-H-3F,12H,13,s13,3,O,2017,Harvest,Establishment,R,12,,49.80643,-91.233474,12yrHarvest,12 Yr Harv.,5.74,402.52,16.05
